name,street_address,type,reviews,no_of_reviews,comments,price_range,type1,type2,type3,city,state,description,weighted_ratings,text_preprocessed
del posto,85 tenth avenue," italian, vegetarian friendly, vegan options",4.5,1653,"fabulous!  deserves the michelin star that it already has.  we had the 5 course dinner on a wintry sunday night.  all 5 courses were marvelous!  having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  pork agnolotti and branzino...more",3.0,italian,vegetarian friendly,vegan options,new york city,ny," italian, vegetarian friendly, vegan options fabulous!  deserves the michelin star that it already has.  we had the 5 course dinner on a wintry sunday night.  all 5 courses were marvelous!  having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  pork agnolotti and branzino...more",7438.5,italian vegetarian friendly vegan option fabulous deserves michelin star already course dinner wintry sunday night course marvelous said linguine geoduck favorite followed closely vealtunasweetbread appetizer pork agnolotti branzinomore
moore's tavern & restaurant,402 w main st," american, bar, pub",3.5,223,on tuesdays moore's has 2 for 1 burgers. the burgers are good and large. the service however was not so good. my wife ordered bacon with her burger but did not get it. when we mentioned this to the waitress so we wouldn't be charged...more,2.0,american,bar,pub,freehold,nj," american, bar, pub on tuesdays moore's has 2 for 1 burgers. the burgers are good and large. the service however was not so good. my wife ordered bacon with her burger but did not get it. when we mentioned this to the waitress so we wouldn't be charged...more",780.5,american bar pub tuesday moore burger burger good large service however good wife ordered bacon burger get mentioned waitress wouldnt chargedmore
the capital grille,117 w 4th st," american, steakhouse, gluten free options",4.5,240,"such a nice evening! professional and kind service in a cozy atmosphere. everything was delicious. we shared oysters, truffle fries and asparagus. we both had beautiful steaks. would go monthly if i lived here.",3.0,american,steakhouse,gluten free options,austin,tx," american, steakhouse, gluten free options such a nice evening! professional and kind service in a cozy atmosphere. everything was delicious. we shared oysters, truffle fries and asparagus. we both had beautiful steaks. would go monthly if i lived here.",1080.0,american steakhouse gluten free option nice evening professional kind service cozy atmosphere everything delicious shared oyster truffle fry asparagus beautiful steak would go monthly lived
pizzeria credo,4520 california ave sw," italian, pizza, vegetarian friendly",4.5,191,"six of us dined here last night - carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  warm, friendly and attentive service. love this place!  a new favorite in seattle.",2.0,italian,pizza,vegetarian friendly,seattle,wa," italian, pizza, vegetarian friendly six of us dined here last night - carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  warm, friendly and attentive service. love this place!  a new favorite in seattle.",859.5,italian pizza vegetarian friendly six u dined last night carbonara pizza gnocchi caprese dessert excellent taste presentation warm friendly attentive service love place new favorite seattle
havana central,one ridge hill blvd," caribbean, latin, spanish",3.5,198,"we came with high hopes and left underwhelmed. we were hoping for something a bit different, and interesting. the waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. and the food was...more",2.0,caribbean,latin,spanish,yonkers,ny," caribbean, latin, spanish we came with high hopes and left underwhelmed. we were hoping for something a bit different, and interesting. the waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. and the food was...more",693.0,caribbean latin spanish came high hope left underwhelmed hoping something bit different interesting waitress spent time describing drink food made realise bar restaurant food wasmore
norma's cafe,8300 gaylord pkwy," american, cafe, diner",4.5,214,"great home style food. yummy breakfast. large portions. have tried chicken strips, burgers, chicken fried steak and pies. all great!",2.0,american,cafe,diner,frisco,tx," american, cafe, diner great home style food. yummy breakfast. large portions. have tried chicken strips, burgers, chicken fried steak and pies. all great!",963.0,american cafe diner great home style food yummy breakfast large portion tried chicken strip burger chicken fried steak pie great
lonesome dove western bistro,2406 n main st," american, southwestern, vegetarian friendly",4.5,513,what a fantastic experience. the bartender was very knowledgeable about the menu and a joy to talk with.  our server joe as knowledgeable and attentive. the food was devine.  the appetizers were out of this world.  i had the elk for my main course and...more,3.0,american,southwestern,vegetarian friendly,fort worth,tx," american, southwestern, vegetarian friendly what a fantastic experience. the bartender was very knowledgeable about the menu and a joy to talk with.  our server joe as knowledgeable and attentive. the food was devine.  the appetizers were out of this world.  i had the elk for my main course and...more",2308.5,american southwestern vegetarian friendly fantastic experience bartender knowledgeable menu joy talk server joe knowledgeable attentive food devine appetizer world elk main course andmore
kathakali indian eatery,11451 98th ave ne," indian, asian, vegetarian friendly",4.5,44,"we thoroughly enjoyed our valentine’s weekend dinner here!  we’d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they don’t accept weekend reservations).  by 6:00 pm there was a line of...more",2.0,indian,asian,vegetarian friendly,kirkland,wa," indian, asian, vegetarian friendly we thoroughly enjoyed our valentine’s weekend dinner here!  we’d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they don’t accept weekend reservations).  by 6:00 pm there was a line of...more",198.0,indian asian vegetarian friendly thoroughly enjoyed valentine weekend dinner wed advised friend arrive early weekend arrived opened dinner service dont accept weekend reservation pm line ofmore
mash'd,3401 preston rd ste d1," american, bar, international",4.5,307,if you are in frisco you have to stop here. the drinks are amazing. service is great. food is great.,2.0,american,bar,international,frisco,tx," american, bar, international if you are in frisco you have to stop here. the drinks are amazing. service is great. food is great.",1381.5,american bar international frisco stop drink amazing service great food great
buzzard billy's,100 interstate 35 n," american, bar, seafood",3.5,660,we sure enjoyed our meal and the margaritas we had at buzzard billy’s. the place was hard to get to because of construction but well worth it. it’s on the river and has a great view and was very nice indoors with friendly staff.,2.0,american,bar,seafood,waco,tx," american, bar, seafood we sure enjoyed our meal and the margaritas we had at buzzard billy’s. the place was hard to get to because of construction but well worth it. it’s on the river and has a great view and was very nice indoors with friendly staff.",2310.0,american bar seafood sure enjoyed meal margarita buzzard billy place hard get construction well worth river great view nice indoors friendly staff
anthony's homeport,135 lake st s," american, seafood, vegetarian friendly",4.0,413,the 3 course menu for $25 is available anytime in january which is a good deal. the salmon dip and northwest duet were good. however the salmon dip was only accompanied by a couple of crackers and slices of apple. the hot fudge sundae for...more,2.0,american,seafood,vegetarian friendly,kirkland,wa," american, seafood, vegetarian friendly the 3 course menu for $25 is available anytime in january which is a good deal. the salmon dip and northwest duet were good. however the salmon dip was only accompanied by a couple of crackers and slices of apple. the hot fudge sundae for...more",1652.0,american seafood vegetarian friendly course menu available anytime january good deal salmon dip northwest duet good however salmon dip accompanied couple cracker slice apple hot fudge sundae formore
kwan tip thai,29426 pacific hwy s," asian, thai, vegetarian friendly",4.5,28,"we had a meeting in federal way that was going to end late, and i knew we needed to get to lunch right away, so i researched places. this sounded good, and am i glad we went!  we had the kwan tip wings, which was...more",2.0,asian,thai,vegetarian friendly,federal way,wa," asian, thai, vegetarian friendly we had a meeting in federal way that was going to end late, and i knew we needed to get to lunch right away, so i researched places. this sounded good, and am i glad we went!  we had the kwan tip wings, which was...more",126.0,asian thai vegetarian friendly meeting federal way going end late knew needed get lunch right away researched place sounded good glad went kwan tip wing wasmore
acropolis pizza & pasta,500 central way," greek, italian, pizza",4.0,74,"this place has been run by the same family since they opened in 1973.  i had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  these things are delicious but can be messy to eat.  imagine if it had round...more",1.0,greek,italian,pizza,kirkland,wa," greek, italian, pizza this place has been run by the same family since they opened in 1973.  i had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  these things are delicious but can be messy to eat.  imagine if it had round...more",296.0,greek italian pizza place run family since opened salad half meatball grinder sliced meatball tomato sauce cheese thing delicious messy eat imagine roundmore
cedars at pier one,355 clover island dr," american, seafood, bar",4.0,160,"we were excited to go here and have an early valentine's day dinner, thursday, the day before the holiday and see if things had changed with the new owner. we sat in the lounge while we waited for our table. the atmosphere was relaxed, the...more",3.0,american,seafood,bar,kennewick,wa," american, seafood, bar we were excited to go here and have an early valentine's day dinner, thursday, the day before the holiday and see if things had changed with the new owner. we sat in the lounge while we waited for our table. the atmosphere was relaxed, the...more",640.0,american seafood bar excited go early valentine day dinner thursday day holiday see thing changed new owner sat lounge waited table atmosphere relaxed themore
bisque restaurant,2020 long beach blvd," american, seafood, gluten free options",4.5,273,"three star restaurant, open all year byob.classy, elegant dining. wine glasses, table cloths. there’s not one thing on the fine menu that i would not try! great chef! you got me hooked!!!🤙🤙🤙",3.0,american,seafood,gluten free options,"ship bottom, long beach island",nj," american, seafood, gluten free options three star restaurant, open all year byob.classy, elegant dining. wine glasses, table cloths. there’s not one thing on the fine menu that i would not try! great chef! you got me hooked!!!🤙🤙🤙",1228.5,american seafood gluten free option three star restaurant open year byobclassy elegant dining wine glass table cloth there one thing fine menu would try great chef got hooked
the capital grille,155 e 42nd st," american, steakhouse, vegetarian friendly",4.5,932,service was great and the steaks were awesome. i highly recommend this capital grill when in nyc. everyone was accomodating.,3.0,american,steakhouse,vegetarian friendly,new york city,ny," american, steakhouse, vegetarian friendly service was great and the steaks were awesome. i highly recommend this capital grill when in nyc. everyone was accomodating.",4194.0,american steakhouse vegetarian friendly service great steak awesome highly recommend capital grill nyc everyone accomodating
maxie's supper club and oyster bar,635 w state st," american, bar, seafood",4.0,378,"they nailed the cajun atmosphere, felt like we could be dining in a new orleans restaurant! our waitress was very bubbly, attentive and informative. we ordered oysters from 3 different north eastern states. i had only had oysters from the gulf and never knew they...more",2.0,american,bar,seafood,ithaca,ny," american, bar, seafood they nailed the cajun atmosphere, felt like we could be dining in a new orleans restaurant! our waitress was very bubbly, attentive and informative. we ordered oysters from 3 different north eastern states. i had only had oysters from the gulf and never knew they...more",1512.0,american bar seafood nailed cajun atmosphere felt like could dining new orleans restaurant waitress bubbly attentive informative ordered oyster different north eastern state oyster gulf never knew theymore
the cheesecake factory,197 riverside sq mall," american, vegetarian friendly, vegan options",4.0,217,"lots of bread and butter to start.
expensive, small drinks with too much ice no matter what you ask for.
big bowls of cheap lettuce with minimal nothing special ingredients.
and - $9 a slice for their 2,000 calorie cheesecake lol. argh! 
stay away please...more",2.0,american,vegetarian friendly,vegan options,hackensack,nj," american, vegetarian friendly, vegan options lots of bread and butter to start.
expensive, small drinks with too much ice no matter what you ask for.
big bowls of cheap lettuce with minimal nothing special ingredients.
and - $9 a slice for their 2,000 calorie cheesecake lol. argh! 
stay away please...more",868.0,american vegetarian friendly vegan option lot bread butter start expensive small drink much ice matter ask big bowl cheap lettuce minimal nothing special ingredient slice calorie cheesecake lol argh stay away pleasemore
677 prime,677 broadway," american, steakhouse, gluten free options",4.5,437,"tremendous service.  nice atmosphere.  ordered the large filet mignon and it had a lot of grisly fat in the middle.  didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  i prefer...more",3.0,american,steakhouse,gluten free options,albany,ny," american, steakhouse, gluten free options tremendous service.  nice atmosphere.  ordered the large filet mignon and it had a lot of grisly fat in the middle.  didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  i prefer...more",1966.5,american steakhouse gluten free option tremendous service nice atmosphere ordered large filet mignon lot grisly fat middle didnt complain cause im one time steak well average prefermore
bareburger,7149 austin st," american, vegetarian friendly, vegan options",4.0,138,"we ordered from this location 
and i'll say excellent burgers.  
good size..  very tasty
but very pricey",2.0,american,vegetarian friendly,vegan options,forest hills,ny," american, vegetarian friendly, vegan options we ordered from this location 
and i'll say excellent burgers.  
good size..  very tasty
but very pricey",552.0,american vegetarian friendly vegan option ordered location ill say excellent burger good size tasty pricey
oto sushi,11628 97th ln ne," japanese, sushi, asian",4.0,51,"we had the mt st helens special.  it’s a roll with avocado and crab meat inside and a fish variety on the outside.  it was great and creative.  the sushi we had was all very good.  

the soba noodle was mediocre, so don’t go for...more",2.0,japanese,sushi,asian,kirkland,wa," japanese, sushi, asian we had the mt st helens special.  it’s a roll with avocado and crab meat inside and a fish variety on the outside.  it was great and creative.  the sushi we had was all very good.  

the soba noodle was mediocre, so don’t go for...more",204.0,japanese sushi asian mt st helen special roll avocado crab meat inside fish variety outside great creative sushi good soba noodle mediocre dont go formore
planet thai,910 ne tenney rd," asian, thai, vegetarian friendly",4.5,100,"recently received a score of 60 from health department.  a score of 100 or higher  is closing the establishment 
don't think i'll be back.",2.0,asian,thai,vegetarian friendly,vancouver,wa," asian, thai, vegetarian friendly recently received a score of 60 from health department.  a score of 100 or higher  is closing the establishment 
don't think i'll be back.",450.0,asian thai vegetarian friendly recently received score health department score higher closing establishment dont think ill back
